"","Study_No","No of arms","Study_year","Drug","Dose_range","No_randomised","Responders","Dropouts_total","Dropouts_sideeffects","N compimputed","Mean","SD","hayasaka_ddd","ddd","jakubovski_ddd","Dose_delivered_mean","type","logRR","selogRR","logRRdrop","selogRRdrop","logRRdropAE","selogRRdropAE","sameDrug","exc","excdrop","excdropAE","exc","excdrop","excdropAE"
"243",105,3,2004,"placebo","Licensed",161,80,13,5,161,-10.78,7.613146524,0,0,0,0,"cc",0,NA,0,NA,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"241",105,3,2004,"desvenlafaxine","Licensed",166,107,17,8,164,-13.16,7.5556866,20,20,20,50,"cc",0.260218776415944,0.0980332488636258,0.237680563222599,0.351441787249433,0.439420205873655,0.559253720139825,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"242",105,3,2004,"desvenlafaxine","Licensed",158,100,20,11,158,-13.65,7.541883054,40,40,40,100,"cc",0.241952883271706,0.0997983263974189,0.449592248049951,0.338205237799184,0.807266692321766,0.52760666870389,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"253",108,4,2009,"placebo","Licensed",164,61,45,10,160,-8.7,7.76,0,0,0,0,"cc",0,NA,0,NA,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"252",108,4,2009,"duloxetine","Licensed",159,74,46,20,157,-10.3,7.76,19.8,19.8,19.8,60,"cc",0.224153454634825,0.132363465445545,0.0529411323227421,0.177692103103358,0.724109406163912,0.37096243859492,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"250",108,4,2009,"desvenlafaxine","Licensed",155,58,44,8,148,-9.8,7.76,20,20,20,50,"cc",0.00601045727805997,0.145208980626062,0.0339684550528932,0.180000891860733,-0.166702240409258,0.460923883218438,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"251",108,4,2009,"desvenlafaxine","Licensed",160,74,57,11,150,-10.5,7.76,40,40,40,100,"cc",0.21788384162123,0.132511868000019,0.261081390654602,0.165585388533334,0.120002792394697,0.422565414975576,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"261",112,2,2011,"placebo","Licensed",146,65,39,6,142,-10.5,7.1,0,0,0,0,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"260",112,2,2011,"desvenlafaxine","Licensed",291,174,60,15,285,-12.61,7.6,20,20,20,50,"cc",0.294951383855736,0.104144133949375,-0.258933729370702,0.178946782933812,0.226574086410999,0.47227914642508,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"263",113,2,2013,"placebo","Licensed",221,72,43,5,216,-8.1,7.76,0,0,0,0,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"262",113,2,2013,"desvenlafaxine","Licensed",218,89,33,12,216,-9.9,7.76,20,20,20,50,"cc",0.225637889444748,0.126541697096008,-0.251024915498418,0.210824100651201,0.889136376082564,0.523661427348055,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"266",114,3,2013,"placebo","Licensed",235,81,26,6,231,14.6,12.26376777,0,0,0,0,"cc",0,NA,0,NA,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"264",114,3,2013,"desvenlafaxine","Extremely high",237,97,33,8,232,14,12.32,10,10,10,25,"cc",0.171787196839972,0.11908076642021,0.229936396454026,0.245539895603407,0.279207445460809,0.532157813280074,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"265",114,3,2013,"desvenlafaxine","Licensed",237,109,22,8,236,13,12.31584345,20,20,20,50,"cc",0.288424100565733,0.114215859263565,-0.175528711654138,0.274665897927732,0.279207445460809,0.532157813280074,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"269",115,3,2013,"placebo","Licensed",227,85,32,5,223,14.70175439,6.549642335,0,0,0,0,"cc",0,NA,0,NA,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"267",115,3,2013,"desvenlafaxine","Extremely low",228,99,30,2,226,13.82,6.86,4,4,4,10,"cc",0.148072982171235,0.114343625652985,-0.0689341326106094,0.236203476006261,-0.920686343347193,0.831389649168251,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"268",115,3,2013,"desvenlafaxine","Licensed",227,92,25,4,224,14.10526316,6.564311205,20,20,20,50,"cc",0.0791373205587238,0.117574225119792,-0.246860077931526,0.249878825258915,-0.22314355131421,0.664220917551364,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"270",116,3,2015,"placebo","Licensed",306,116,37,7,294,-9.71,6.862856548,0,0,0,0,"cc",0,NA,0,NA,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"271",116,3,2015,"desvenlafaxine","Licensed",306,131,48,10,291,-11.28,6.733112208,20,20,20,50,"cc",0.121607132094787,0.0985815891990673,0.260283098263667,0.203284068849337,0.356674943938733,0.486128784525998,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"272",116,3,2015,"desvenlafaxine","Licensed",312,143,59,16,301,-11.67,6.667293304,40,40,40,100,"cc",0.189836353296441,0.0956064568261059,0.447201445404393,0.193657113238999,0.807260487327366,0.445964169856509,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"273",117,2,NA,"desvenlafaxine","Extremely high",72,29,20,9,63,-9.2,8.73,80,80,80,200,"cc",0,NA,0,NA,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"274",117,2,NA,"desvenlafaxine","Extremely high",77,30,19,11,72,-9.3,7.64,160,160,160,400,"cc",-0.0332377511619472,0.202336823337032,-0.118432597225179,0.275237492125376,0.133531392624523,0.418502449388651,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"275",118,4,2004,"placebo","Licensed",120,34,22,4,118,-7.7,6.84,0,0,0,0,"cc",0,NA,0,NA,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"276",118,4,2004,"desvenlafaxine","Licensed",118,50,27,15,114,-10.5,7.04,40,40,40,100,"cc",0.402469599128366,0.180565376252931,0.221601530962395,0.256288261313433,1.3385629582987,0.547593605753525,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"277",118,4,2004,"desvenlafaxine","Extremely high",116,46,26,11,116,-9.6,7.1,80,80,80,200,"cc",0.336182423548615,0.184923963163672,0.200955636338848,0.258770286021363,1.04550246335416,0.569170508653238,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"278",118,4,2004,"desvenlafaxine","Extremely high",116,50,35,19,113,-10.5,7.12,160,160,160,400,"cc",0.419564032487666,0.180160322261525,0.498207159806779,0.238897365070166,1.59204616972223,0.534488125180403,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"283",120,3,2001,"placebo","Licensed",75,28,31,NA,72,-7.1,6.96,0,0,0,0,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"284",120,3,2001,"fluoxetine","Licensed",37,15,14,NA,37,-7.63,7,20,20,20,20,"cc",0.0824158918190921,0.249039338299378,-0.0883596739778015,0.251647125126317,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"287",121,4,2001,"placebo","Licensed",90,24,29,3,89,-4.78,6.41510717,0,0,0,0,"cc",0,NA,0,NA,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"285",121,4,2001,"duloxetine","Licensed",91,24,30,11,90,-6.18,6.451046427,13.2,13.2,13.2,40,"cc",-0.0110498361865849,0.24745345265971,0.0228517154890963,0.213812931914561,1.28823314794368,0.634146908959038,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"288",121,4,2001,"paroxetine","Licensed",89,38,31,10,87,-7.4,6.435891547,23.6,20,20,20,"cc",0.470705629976565,0.213624413335789,0.0778646750967974,0.210698260480545,1.21514610492406,0.641082106415428,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"286",121,4,2001,"duloxetine","Licensed",84,28,28,13,81,-6.31,6.3,26.4,26.4,26.4,80,"cc",0.22314355131421,0.233163203282764,0.0339015516756812,0.217212272487312,1.53532994028038,0.622286539498114,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"291",122,4,2001,"placebo","Licensed",89,27,37,10,88,-4.99,7.598473531,0,0,0,0,"cc",0,NA,0,NA,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
